time,x1,x2
0.394,10,0.001
0.554,0,0
0.719,30,7.31344e-08
0.884,27.62,0.00297127
1.048,28.9214,0.00496276
1.212,29.7845,0.00772839
1.38,30.4648,0.010498
1.543,30.6722,0.0105434
1.705,30.6722,0.0105434
1.865,30.6722,0.0115434
2.029,30.2729,0.0124422
2.191,29.7336,0.0113171
2.35,29.3613,0.00931775
2.509,29.3613,0.00931775
2.673,29.3613,0.00931775
2.832,29.3613,0.00931775
2.99,29.3613,0.0103178
3.148,29.3613,0.0113178
3.307,29.3613,0.0103178
3.465,29.3613,0.00931775
3.624,30.2208,0.00815182
3.783,30.2208,0.00715182
3.941,31.3376,0.00703732
4.099,31.3376,0.00603732
4.258,31.3376,0.00503732
4.416,31.3376,0.00603732
4.574,30.6587,0.0075608
4.732,29.0517,0.00964185
4.891,29.0517,0.0106418
5.049,29.0517,0.0116418
5.207,29.0517,0.0126418
5.366,29.0517,0.0126418
5.524,29.0517,0.0126418
5.682,29.0517,0.0126418
5.841,29.0517,0.0126418
6.001,29.0517,0.0136418
6.159,29.0517,0.0126418
6.318,30.1784,0.0116494
6.479,30.0909,0.0116445
6.638,30.8628,0.0118176
6.797,31.1562,0.0123384
6.955,31.3428,0.0137862
7.114,31.4872,0.0151232
7.272,31.5944,0.0162571
7.431,31.5944,0.0172571
7.589,31.5944,0.0182571
7.748,31.5944,0.0192571
7.908,31.5944,0.0202571
8.066,31.5944,0.0212571
8.225,30.7343,0.0199769
8.384,30.1203,0.0187454
8.543,29.6552,0.0177466
8.701,29.3085,0.0157472
8.86,29.3085,0.0157472
9.019,29.3085,0.0157472
9.177,28.3085,0.0168472
9.336,28.3085,0.0158472
9.494,28.3085,0.0148472
9.653,29.1819,0.0135472
9.812,29.1819,0.0125472
9.97,31.1036,0.0115706
10.001,31.1036,0.0115706
